Sibiraea_angustata	SRR26758312	Outgroup
Petrophytum_caespitosum	SRR26756731	Outgroup
Spiraea_media	SRR26756099
Spiraea_veitchii	SRR26756328
Spiraea_velutina	A
Spiraea_japonica_var._acuta	SRR26757066
Spiraea_schochiana	SRR26757528
Spiraea_purpurea	SRR26757405
Spiraea_ovalis	SRR26756874
Spiraea_morrisonicola	SRR26756875
Spiraea_muliensis	SRR26757065
Spiraea_japonica_var._kweichowensis	SRR26757081
Spiraea_hingshanensis	SRR26757529
Spiraea_hirsuta	A
Spiraea_rosthornii	SRR26758553
Spiraea_pjassetzkii	A
Spiraea_prunifolia	SRR26759228
Spiraea_mongolica	SRR26760060
Spiraea_dahurica	SRR26763884
Spiraea_dasyantha	SRR26763886
Spiraea_calcicola	SRR26764227
Spiraea_adiantoides	A
Spiraea_bella	A
Spiraea_alpina	A
Spiraea_arcuata	A
Spiraea_blumei	A
Spiraea_trilobata	A
Spiraea_canescens	A
Spiraea_cantoniensis	A
Spiraea_chamaedryfolia	A
Spiraea_chinensis	A
Spiraea_compsophylla	A
Spiraea_elegans	A
Spiraea_henryi	A
Spiraea_henryi_var._omeiensis	A
Spiraea_hirsuta_var._rotundifolia	A
Spiraea_hypericifolia	A
Spiraea_japonica_var._acuminata	A
Spiraea_japonica_var._formosana	A
Spiraea_japonica_var._fortunei	A
Spiraea_kwangsiensis	A
Spiraea_lasiocarpa	A
Spiraea_lobulata	A
Spiraea_martini	A
Spiraea_miyabei	A
Spiraea_mollifolia	A
Spiraea_myrtilloides	A
Spiraea_nishimurae	A
Spiraea_sargentiana	A
Spiraea_thunbergii	A
Spiraea_turczaninowii	A
Spiraea_ovalis_var._teretiuscula	A
Spiraea_prunifolia_var._simpliciflora	A
Spiraea_salicifolia	A
Spiraea_schneideriana	A
Spiraea_sericea	A
Spiraea_sublobata	A
Spiraea_trichocarpa	A
Spiraea_fritschiana	A
Spiraea_laeta	A
Spiraea_lichiangensis	A
Spiraea_longigemmis	A
Spiraea_uratensis	A
Spiraea_wilsonii	A
Spiraea_yunnanensis	A
Spiraea_ningshiaensis	A
Spiraea_fritschiana_var._angulata	A
Spiraea_micrantha	SRR26764161
